2025-12-28 10:57:38,381 | INFO | push_on_max_http             | http         | returned   |     0.001392s | records=10
2025-12-28 10:57:38,384 | INFO | push_on_max_http             | http         | returned   |     0.001393s | records=10
2025-12-28 10:57:38,386 | INFO | push_on_max_http             | http         | returned   |     0.001432s | records=10
2025-12-28 10:57:38,388 | INFO | push_on_max_http             | http         | returned   |     0.001402s | records=10
2025-12-28 10:57:38,390 | INFO | push_on_max_http             | http         | returned   |     0.001502s | records=10
2025-12-28 10:57:38,392 | INFO | push_on_max_http             | http         | returned   |     0.001281s | records=10
2025-12-28 10:57:38,394 | INFO | push_on_max_http             | http         | returned   |     0.001331s | records=10
2025-12-28 10:57:38,396 | INFO | push_on_max_http             | http         | returned   |     0.001465s | records=10
2025-12-28 10:57:38,398 | INFO | push_on_max_http             | http         | returned   |     0.001272s | records=10
2025-12-28 10:57:38,400 | INFO | push_on_max_http             | http         | returned   |     0.001392s | records=10
2025-12-28 10:57:38,402 | INFO | push_on_max_http             | http         | returned   |     0.001325s | records=10
2025-12-28 10:57:38,404 | INFO | push_on_max_http             | http         | returned   |     0.001273s | records=10
2025-12-28 10:57:38,406 | INFO | push_on_max_http             | http         | returned   |     0.001242s | records=10
2025-12-28 10:57:38,408 | INFO | push_on_max_http             | http         | returned   |     0.001254s | records=10
2025-12-28 10:57:38,410 | INFO | push_on_max_http             | http         | returned   |     0.001370s | records=10
2025-12-28 10:57:38,412 | INFO | push_on_max_http             | http         | returned   |     0.001207s | records=10
2025-12-28 10:57:38,414 | INFO | push_on_max_http             | http         | returned   |     0.001201s | records=10
2025-12-28 10:57:38,416 | INFO | push_on_max_http             | http         | returned   |     0.001434s | records=10
2025-12-28 10:57:38,418 | INFO | push_on_max_http             | http         | returned   |     0.001333s | records=10
2025-12-28 10:57:38,420 | INFO | push_on_max_http             | http         | returned   |     0.001322s | records=10
2025-12-28 10:57:38,424 | INFO | push_on_max_http             | http         | returned   |     0.001536s | records=10
2025-12-28 10:57:38,426 | INFO | push_on_max_http             | http         | returned   |     0.001318s | records=10
2025-12-28 10:57:38,428 | INFO | push_on_max_http             | http         | returned   |     0.001339s | records=10
2025-12-28 10:57:38,430 | INFO | push_on_max_http             | http         | returned   |     0.001338s | records=10
2025-12-28 10:57:38,432 | INFO | push_on_max_http             | http         | returned   |     0.001365s | records=10
2025-12-28 10:57:38,434 | INFO | push_on_max_http             | http         | returned   |     0.001391s | records=10
2025-12-28 10:57:38,435 | INFO | push_on_max_http             | http         | returned   |     0.001238s | records=10
2025-12-28 10:57:38,437 | INFO | push_on_max_http             | http         | returned   |     0.001392s | records=10
2025-12-28 10:57:38,440 | INFO | push_on_max_http             | http         | returned   |     0.001455s | records=10
2025-12-28 10:57:38,442 | INFO | push_on_max_http             | http         | returned   |     0.001378s | records=10
2025-12-28 10:57:38,444 | INFO | push_on_max_http             | http         | returned   |     0.001412s | records=10
2025-12-28 10:57:38,446 | INFO | push_on_max_http             | http         | returned   |     0.001384s | records=10
2025-12-28 10:57:38,448 | INFO | push_on_max_http             | http         | returned   |     0.001346s | records=10
2025-12-28 10:57:38,449 | INFO | push_on_max_http             | http         | returned   |     0.001263s | records=10
2025-12-28 10:57:38,452 | INFO | push_on_max_http             | http         | returned   |     0.001430s | records=10
2025-12-28 10:57:38,454 | INFO | push_on_max_http             | http         | returned   |     0.001433s | records=10
2025-12-28 10:57:38,456 | INFO | push_on_max_http             | http         | returned   |     0.001498s | records=10
2025-12-28 10:57:38,458 | INFO | push_on_max_http             | http         | returned   |     0.001217s | records=10
2025-12-28 10:57:38,460 | INFO | push_on_max_http             | http         | returned   |     0.001408s | records=10
2025-12-28 10:57:38,462 | INFO | push_on_max_http             | http         | returned   |     0.001498s | records=10
2025-12-28 10:57:38,463 | INFO | push_on_max_http             | http         | returned   |     0.001303s | records=10
2025-12-28 10:57:38,465 | INFO | push_on_max_http             | http         | returned   |     0.001412s | records=10
2025-12-28 10:57:38,468 | INFO | push_on_max_http             | http         | returned   |     0.001734s | records=10
2025-12-28 10:57:38,470 | INFO | push_on_max_http             | http         | returned   |     0.001401s | records=10
2025-12-28 10:57:38,472 | INFO | push_on_max_http             | http         | returned   |     0.001406s | records=10
2025-12-28 10:57:38,474 | INFO | push_on_max_http             | http         | returned   |     0.001507s | records=10
2025-12-28 10:57:38,476 | INFO | push_on_max_http             | http         | returned   |     0.001461s | records=10
2025-12-28 10:57:38,479 | INFO | push_on_max_http             | http         | returned   |     0.001595s | records=10
2025-12-28 10:57:38,481 | INFO | push_on_max_http             | http         | returned   |     0.001504s | records=10
